71.9117 	EXP 	page: autoDraw = True
71.9705 	EXP 	page: autoDraw = True
71.9947 	EXP 	page: autoDraw = True
72.0114 	EXP 	page: autoDraw = True
72.0279 	EXP 	page: autoDraw = True
72.0463 	EXP 	page: autoDraw = True
72.0945 	EXP 	page: autoDraw = True
72.1115 	EXP 	page: autoDraw = True
72.1286 	EXP 	page: autoDraw = True
72.1453 	EXP 	page: autoDraw = True
72.1614 	EXP 	page: autoDraw = True
72.2103 	EXP 	page: autoDraw = True
72.2278 	EXP 	page: autoDraw = True
72.2439 	EXP 	page: autoDraw = True
72.2619 	EXP 	page: autoDraw = True
72.2778 	EXP 	page: autoDraw = True
72.3268 	EXP 	page: autoDraw = True
72.3444 	EXP 	page: autoDraw = True
72.3606 	EXP 	page: autoDraw = True
72.3792 	EXP 	page: autoDraw = True
72.3961 	EXP 	page: autoDraw = True
72.4438 	EXP 	page: autoDraw = True
72.4605 	EXP 	page: autoDraw = True
72.4768 	EXP 	page: autoDraw = True
72.4929 	EXP 	page: autoDraw = True
72.5094 	EXP 	page: autoDraw = True
72.5605 	EXP 	page: autoDraw = True
72.5769 	EXP 	page: autoDraw = True
72.5934 	EXP 	page: autoDraw = True
72.6111 	EXP 	page: autoDraw = True
72.6298 	EXP 	page: autoDraw = True
72.6767 	EXP 	page: autoDraw = True
72.6940 	EXP 	page: autoDraw = True
72.7103 	EXP 	page: autoDraw = True
72.7270 	EXP 	page: autoDraw = True
72.7447 	EXP 	page: autoDraw = True
72.7938 	EXP 	page: autoDraw = True
72.8109 	EXP 	page: autoDraw = True
72.8271 	EXP 	page: autoDraw = True
72.8433 	EXP 	page: autoDraw = True
72.8597 	EXP 	page: autoDraw = True
72.9102 	EXP 	page: autoDraw = True
72.9270 	EXP 	page: autoDraw = True
72.9445 	EXP 	page: autoDraw = True
72.9611 	EXP 	page: autoDraw = True
72.9769 	EXP 	page: autoDraw = True
73.0266 	EXP 	page: autoDraw = True
73.0274 	DATA 	Mouse: Left button down, pos=(495,683)
73.0467 	EXP 	page: autoDraw = True
73.0467 	EXP 	stim4: color = '[0.1  0.1  0.25] (rgb)'
73.0604 	EXP 	page: autoDraw = True
73.0780 	EXP 	page: autoDraw = True
73.0932 	EXP 	page: autoDraw = True
73.1433 	EXP 	page: autoDraw = True
73.1439 	DATA 	Mouse:  Left button up, pos=(495,683)
73.1595 	EXP 	page: autoDraw = True
73.1763 	EXP 	page: autoDraw = True
73.1927 	EXP 	page: autoDraw = True
73.2093 	EXP 	page: autoDraw = True
73.2776 	EXP 	page: autoDraw = True
73.2935 	EXP 	page: autoDraw = True
73.3099 	EXP 	page: autoDraw = True
73.3266 	EXP 	page: autoDraw = True
73.3779 	EXP 	page: autoDraw = True
73.3940 	EXP 	page: autoDraw = True
73.4100 	EXP 	page: autoDraw = True
73.4260 	EXP 	page: autoDraw = True
73.4427 	EXP 	page: autoDraw = True
73.4936 	EXP 	page: autoDraw = True
73.5106 	EXP 	page: autoDraw = True
73.5270 	EXP 	page: autoDraw = True
73.5445 	EXP 	page: autoDraw = True
73.5616 	EXP 	page: autoDraw = True
73.6100 	EXP 	page: autoDraw = True
73.6274 	EXP 	page: autoDraw = True
73.6445 	EXP 	page: autoDraw = True
73.6628 	EXP 	page: autoDraw = True
73.7197 	EXP 	page: autoDraw = True
73.7443 	EXP 	page: autoDraw = True
73.7621 	EXP 	page: autoDraw = True
73.7807 	EXP 	page: autoDraw = True
73.8324 	EXP 	page: autoDraw = True
73.8613 	EXP 	page: autoDraw = True
73.8795 	EXP 	page: autoDraw = True
73.8978 	EXP 	page: autoDraw = True
73.9611 	EXP 	page: autoDraw = True
73.9782 	EXP 	page: autoDraw = True
73.9942 	EXP 	page: autoDraw = True
74.0105 	EXP 	page: autoDraw = True
74.0619 	EXP 	page: autoDraw = True
74.0772 	EXP 	page: autoDraw = True
74.0933 	EXP 	page: autoDraw = True
74.1096 	EXP 	page: autoDraw = True
74.1266 	EXP 	page: autoDraw = True
74.1751 	EXP 	page: autoDraw = True
74.1934 	EXP 	page: autoDraw = True
74.2102 	EXP 	page: autoDraw = True
74.2287 	EXP 	page: autoDraw = True
74.2465 	EXP 	page: autoDraw = True
74.2937 	EXP 	page: autoDraw = True
74.3108 	EXP 	page: autoDraw = True
74.3279 	EXP 	page: autoDraw = True
74.3469 	EXP 	page: autoDraw = True
74.3650 	EXP 	page: autoDraw = True
74.4103 	EXP 	page: autoDraw = True
74.4270 	EXP 	page: autoDraw = True
74.4401 	EXP 	page: autoDraw = True
74.4617 	EXP 	page: autoDraw = True
