61.1592 	EXP 	page: autoDraw = True
61.1755 	EXP 	page: autoDraw = True
61.1934 	EXP 	page: autoDraw = True
61.2097 	EXP 	page: autoDraw = True
61.2753 	EXP 	page: autoDraw = True
61.2921 	EXP 	page: autoDraw = True
61.3100 	EXP 	page: autoDraw = True
61.3278 	EXP 	page: autoDraw = True
61.3927 	EXP 	page: autoDraw = True
61.4095 	EXP 	page: autoDraw = True
61.4270 	EXP 	page: autoDraw = True
61.4423 	EXP 	page: autoDraw = True
61.4919 	EXP 	page: autoDraw = True
61.5084 	EXP 	page: autoDraw = True
61.5245 	EXP 	page: autoDraw = True
61.5423 	EXP 	page: autoDraw = True
61.5579 	EXP 	page: autoDraw = True
61.6083 	EXP 	page: autoDraw = True
61.6249 	EXP 	page: autoDraw = True
61.6416 	EXP 	page: autoDraw = True
61.6583 	EXP 	page: autoDraw = True
61.6782 	EXP 	page: autoDraw = True
61.7253 	EXP 	page: autoDraw = True
61.7422 	EXP 	page: autoDraw = True
61.7592 	EXP 	page: autoDraw = True
61.7763 	EXP 	page: autoDraw = True
61.7962 	EXP 	page: autoDraw = True
