35.3346 	EXP 	page: autoDraw = True
35.3521 	EXP 	page: autoDraw = True
35.3703 	EXP 	page: autoDraw = True
35.4011 	EXP 	page: autoDraw = True
35.4513 	EXP 	page: autoDraw = True
35.4685 	EXP 	page: autoDraw = True
35.4861 	EXP 	page: autoDraw = True
35.5034 	EXP 	page: autoDraw = True
35.5635 	EXP 	page: autoDraw = True
35.5846 	EXP 	page: autoDraw = True
35.6029 	EXP 	page: autoDraw = True
35.6195 	EXP 	page: autoDraw = True
35.6363 	EXP 	page: autoDraw = True
35.6848 	EXP 	page: autoDraw = True
35.7020 	EXP 	page: autoDraw = True
35.7186 	EXP 	page: autoDraw = True
35.7345 	EXP 	page: autoDraw = True
35.7504 	EXP 	page: autoDraw = True
35.8013 	EXP 	page: autoDraw = True
35.8185 	EXP 	page: autoDraw = True
35.8353 	EXP 	page: autoDraw = True
35.8540 	EXP 	page: autoDraw = True
35.9102 	EXP 	page: autoDraw = True
35.9345 	EXP 	page: autoDraw = True
35.9524 	EXP 	page: autoDraw = True
35.9864 	EXP 	page: autoDraw = True
36.0347 	EXP 	page: autoDraw = True
36.0518 	EXP 	page: autoDraw = True
36.0707 	EXP 	page: autoDraw = True
36.1016 	EXP 	page: autoDraw = True
36.1512 	EXP 	page: autoDraw = True
36.1685 	EXP 	page: autoDraw = True
36.1850 	EXP 	page: autoDraw = True
36.2034 	EXP 	page: autoDraw = True
36.2200 	EXP 	page: autoDraw = True
36.2673 	EXP 	page: autoDraw = True
36.2846 	EXP 	page: autoDraw = True
36.3020 	EXP 	page: autoDraw = True
36.3193 	EXP 	page: autoDraw = True
36.3357 	EXP 	page: autoDraw = True
36.3841 	EXP 	page: autoDraw = True
36.4008 	EXP 	page: autoDraw = True
36.4170 	EXP 	page: autoDraw = True
36.4328 	EXP 	page: autoDraw = True
36.4497 	EXP 	page: autoDraw = True
36.5006 	EXP 	page: autoDraw = True
36.5171 	EXP 	page: autoDraw = True
36.5337 	EXP 	page: autoDraw = True
36.5514 	EXP 	page: autoDraw = True
36.5698 	EXP 	page: autoDraw = True
36.6170 	EXP 	page: autoDraw = True
36.6340 	EXP 	page: autoDraw = True
36.6501 	EXP 	page: autoDraw = True
36.6682 	EXP 	page: autoDraw = True
36.6857 	EXP 	page: autoDraw = True
36.7340 	EXP 	page: autoDraw = True
36.7503 	EXP 	page: autoDraw = True
36.7680 	EXP 	page: autoDraw = True
36.7856 	EXP 	page: autoDraw = True
36.8037 	EXP 	page: autoDraw = True
36.8512 	EXP 	page: autoDraw = True
36.8684 	EXP 	page: autoDraw = True
36.8859 	EXP 	page: autoDraw = True
36.9034 	EXP 	page: autoDraw = True
36.9195 	EXP 	page: autoDraw = True
36.9668 	EXP 	page: autoDraw = True
36.9837 	EXP 	page: autoDraw = True
37.0006 	EXP 	page: autoDraw = True
37.0172 	EXP 	page: autoDraw = True
37.0337 	EXP 	page: autoDraw = True
37.0840 	EXP 	page: autoDraw = True
37.1004 	EXP 	page: autoDraw = True
37.1169 	EXP 	page: autoDraw = True
37.1331 	EXP 	page: autoDraw = True
37.1499 	EXP 	page: autoDraw = True
37.2182 	EXP 	page: autoDraw = True
37.2343 	EXP 	page: autoDraw = True
37.2505 	EXP 	page: autoDraw = True
37.2667 	EXP 	page: autoDraw = True
37.3173 	EXP 	page: autoDraw = True
37.3336 	EXP 	page: autoDraw = True
37.3506 	EXP 	page: autoDraw = True
37.3703 	EXP 	page: autoDraw = True
37.3864 	EXP 	page: autoDraw = True
37.4346 	EXP 	page: autoDraw = True
37.4517 	EXP 	page: autoDraw = True
37.4686 	EXP 	page: autoDraw = True
37.4861 	EXP 	page: autoDraw = True
37.5035 	EXP 	page: autoDraw = True
37.5504 	EXP 	page: autoDraw = True
37.5671 	EXP 	page: autoDraw = True
37.5838 	EXP 	page: autoDraw = True
37.6015 	EXP 	page: autoDraw = True
37.6179 	EXP 	page: autoDraw = True
37.6674 	EXP 	page: autoDraw = True
37.6839 	EXP 	page: autoDraw = True
37.7010 	EXP 	page: autoDraw = True
37.7171 	EXP 	page: autoDraw = True
37.7335 	EXP 	page: autoDraw = True
37.7840 	EXP 	page: autoDraw = True
37.8006 	EXP 	page: autoDraw = True
37.8171 	EXP 	page: autoDraw = True
37.8351 	EXP 	page: autoDraw = True
37.8514 	EXP 	page: autoDraw = True
37.9003 	EXP 	page: autoDraw = True
37.9174 	EXP 	page: autoDraw = True
37.9336 	EXP 	page: autoDraw = True
37.9503 	EXP 	page: autoDraw = True
37.9703 	EXP 	page: autoDraw = True
38.0173 	EXP 	page: autoDraw = True
38.0343 	EXP 	page: autoDraw = True
38.0512 	EXP 	page: autoDraw = True
38.0699 	EXP 	page: autoDraw = True
38.1309 	EXP 	page: autoDraw = True
38.1510 	EXP 	page: autoDraw = True
38.1694 	EXP 	page: autoDraw = True
38.2013 	EXP 	page: autoDraw = True
38.2512 	EXP 	page: autoDraw = True
38.2683 	EXP 	page: autoDraw = True
38.2858 	EXP 	page: autoDraw = True
38.3044 	EXP 	page: autoDraw = True
38.3200 	EXP 	page: autoDraw = True
38.3677 	EXP 	page: autoDraw = True
38.3847 	EXP 	page: autoDraw = True
38.4020 	EXP 	page: autoDraw = True
38.4178 	EXP 	page: autoDraw = True
38.4356 	EXP 	page: autoDraw = True
38.4842 	EXP 	page: autoDraw = True
38.5019 	EXP 	page: autoDraw = True
38.5188 	EXP 	page: autoDraw = True
38.5345 	EXP 	page: autoDraw = True
38.5516 	EXP 	page: autoDraw = True
38.6008 	EXP 	page: autoDraw = True
38.6170 	EXP 	page: autoDraw = True
38.6340 	EXP 	page: autoDraw = True
38.6504 	EXP 	page: autoDraw = True
38.6690 	EXP 	page: autoDraw = True
38.7176 	EXP 	page: autoDraw = True
38.7344 	EXP 	page: autoDraw = True
38.7510 	EXP 	page: autoDraw = True
38.7715 	EXP 	page: autoDraw = True
38.8293 	EXP 	page: autoDraw = True
38.8511 	EXP 	page: autoDraw = True
38.8692 	EXP 	page: autoDraw = True
38.9011 	EXP 	page: autoDraw = True
38.9444 	EXP 	page: autoDraw = True
38.9679 	EXP 	page: autoDraw = True
